Name,F,M,M_weight,F_weight
ANALYSE,6,0,0,1
ANAM,66,0,0,1
ANAMARIA,134,0,0,1
ANAMARIE,5,0,0,1
ANAMIKA,6,0,0,1
ANAMTA,5,0,0,1
ANAND,0,188,1,0
ANANDA,82,0,0,1
ANANYA,189,0,0,1
ANARI,26,0,0,1
ANARIA,5,0,0,1
ANAS,0,245,1,0
ANASIA,22,0,0,1
ANASTACIA,162,0,0,1
ANASTASI,20,0,0,1
ANASTASIA,4352,0,0,1
ANASTASIOS,0,206,1,0
ANASTASIYA,6,0,0,1
ANASTASSIA,5,0,0,1
ANAY,5,0,0,1
ANAYA,1182,0,0,1
ANAYAH,237,0,0,1
ANAYELI,11,0,0,1
ANAYLA,5,0,0,1
ANDER,0,25,1,0
ANDERS,0,210,1,0
ANDERSEN,0,5,1,0
ANDERSON,0,1879,1,0
ANDI,101,144,0.587755102,0.412244898
ANDIE,182,0,0,1
ANDON,0,24,1,0
ANDRA,178,25,0.123152709,0.876847291
ANDRAE,0,53,1,0
ANDRE,65,12463,0.994811622,0.005188378
ANDREA,32637,494,0.014910507,0.985089493
